Time [s], Analyzer Name, Decoded Protocol Result
6.857666000000000,Async Serial,0xFF
6.857780000000000,Async Serial,0x00 (framing error)
6.862131000000000,Async Serial,0x00 (framing error)
6.941510000000000,Async Serial,0x7E
6.942656000000000,Async Serial,0x00
6.943802000000000,Async Serial,0x02
6.944948000000000,Async Serial,0x8A
6.946094000000000,Async Serial,0x00
6.947239000000000,Async Serial,0x75
8.198525999999999,Async Serial,0x7E
8.199569000000000,Async Serial,0x00
8.200611000000000,Async Serial,0x57
8.201654000000000,Async Serial,0x10
8.202697000000001,Async Serial,0x01
8.203739000000001,Async Serial,0x00
8.204782000000000,Async Serial,0x00
8.205825000000001,Async Serial,0x00
8.206867000000001,Async Serial,0x00
8.207910000000000,Async Serial,0x00
8.208952999999999,Async Serial,0x00
8.209996000000000,Async Serial,0xFF
8.211038000000000,Async Serial,0xFF
8.212081000000000,Async Serial,0xFF
8.213124000000001,Async Serial,0xFE
8.214167000000000,Async Serial,0x00
8.215209000000000,Async Serial,0x00
8.216252000000001,Async Serial,0x01
8.217295000000000,Async Serial,0x02
8.218337000000000,Async Serial,0x03
8.219379999999999,Async Serial,0x04
8.220423000000000,Async Serial,0x05
8.221465999999999,Async Serial,0x06
8.222507999999999,Async Serial,0x07
8.223551000000000,Async Serial,0x08
8.224593000000000,Async Serial,0x09
8.225636000000000,Async Serial,0x0A
8.226679000000001,Async Serial,0x0B
8.227722000000000,Async Serial,0x0C
8.228764999999999,Async Serial,0x0D
8.229806999999999,Async Serial,0x0E
8.230850000000000,Async Serial,0x0F
8.231892000000000,Async Serial,0x10
8.232934999999999,Async Serial,0x11
8.233976999999999,Async Serial,0x12
8.235020000000000,Async Serial,0x13
8.236062000000000,Async Serial,0x14
8.237105000000000,Async Serial,0x15
8.238148000000001,Async Serial,0x16
8.239191000000000,Async Serial,0x17
8.240233000000000,Async Serial,0x18
8.241275999999999,Async Serial,0x19
8.242317999999999,Async Serial,0x1A
8.243361000000000,Async Serial,0x1B
8.244403999999999,Async Serial,0x1C
8.245445999999999,Async Serial,0x1D
8.246489000000000,Async Serial,0x1E
8.247531000000000,Async Serial,0x1F
8.248573000000000,Async Serial,0x20
8.315727000000001,Async Serial,0x7E
8.316872999999999,Async Serial,0x00
8.318018000000000,Async Serial,0x07
8.319164000000001,Async Serial,0x8B
8.320309999999999,Async Serial,0x01
8.321456000000000,Async Serial,0xFF
8.322602000000000,Async Serial,0xFE
8.323746999999999,Async Serial,0x00
8.324892999999999,Async Serial,0x00
8.326039000000000,Async Serial,0x00
8.327185000000000,Async Serial,0x76
8.261081000000001,Async Serial,0x2C
8.262124000000000,Async Serial,0x2D
8.263166999999999,Async Serial,0x2E
8.264208999999999,Async Serial,0x2F
8.265250999999999,Async Serial,0x30
8.266294000000000,Async Serial,0x31
8.267336000000000,Async Serial,0x32
8.268378999999999,Async Serial,0x33
8.269422000000000,Async Serial,0x34
8.270464000000000,Async Serial,0x35
8.271507000000000,Async Serial,0x36
8.272549000000000,Async Serial,0x37
8.273592000000001,Async Serial,0x38
8.274634000000001,Async Serial,0x39
8.275676000000001,Async Serial,0x3A
8.276719000000000,Async Serial,0x3B
8.277761000000000,Async Serial,0x3C
8.278803999999999,Async Serial,0x3D
8.279845999999999,Async Serial,0x3E
8.280887999999999,Async Serial,0x3F
8.281929999999999,Async Serial,0x40
8.282971999999999,Async Serial,0x41
8.284014000000001,Async Serial,0x42
8.285057000000000,Async Serial,0x43
8.286099000000000,Async Serial,0x44
8.287141999999999,Async Serial,0x45
8.288183999999999,Async Serial,0x46
8.289225999999999,Async Serial,0x47
8.290267999999999,Async Serial,0x48
8.291311000000000,Async Serial,0x49
8.292353000000000,Async Serial,0x66
8.315727000000001,Async Serial,0x7E
8.316872999999999,Async Serial,0x00
8.318018000000000,Async Serial,0x07
8.319164000000001,Async Serial,0x8B
8.320309999999999,Async Serial,0x01
8.321456000000000,Async Serial,0xFF
8.322602000000000,Async Serial,0xFE
8.323746999999999,Async Serial,0x00
8.324892999999999,Async Serial,0x00
8.326039000000000,Async Serial,0x00
8.327185000000000,Async Serial,0x76
